"icao","counts","latitude","longitude"
"enor",189,69.698,30.9096
"enor",190,69.697,30.9125
"enor",191,69.6962,30.9155
"enor",192,69.6953,30.9172
"enor",193,69.6949,30.9192
"enor",194,69.6944,30.9198
"enor",195,69.6935,30.9195
"enor",196,69.6929,30.9177
"enor",197,69.6923,30.9167
"enor",198,69.6912,30.9164
"enor",199,69.6909,30.9178
"enor",200,69.6912,30.9226
"enor",201,69.6908,30.9239
"enor",202,69.6902,30.9247
"enor",203,69.6892,30.9254
"enor",204,69.6882,30.9272
"enor",205,69.6872,30.9282
"enor",206,69.6857,30.9283
"enor",207,69.6848,30.93
"enor",208,69.6848,30.931
"enor",209,69.6852,30.9321
"enor",210,69.6867,30.9345
"enor",211,69.687,30.9365
"enor",212,69.6864,30.9367
"enor",213,69.6856,30.9356
"enor",214,69.6853,30.9368
"enor",215,69.6853,30.9399
"enor",216,69.6852,30.941
"enor",217,69.6831,30.9451
"enor",218,69.6825,30.9444
"enor",219,69.6821,30.9429
"enor",220,69.6811,30.9425
"enor",221,69.6808,30.9424
"enor",222,69.6805,30.9426
"enor",223,69.6793,30.9454
"enor",224,69.6778,30.9459
"enor",225,69.6773,30.9455
"enor",226,69.677,30.9441
"enor",227,69.6763,30.9421
"enor",228,69.6757,30.9421
"enor",229,69.6752,30.9429
"enor",230,69.6749,30.9457
"enor",231,69.6744,30.9464
"enor",232,69.6739,30.9446
"enor",233,69.6739,30.9409
"enor",234,69.6742,30.9396
"enor",235,69.6752,30.9391
"enor",236,69.6757,30.9383
"enor",237,69.6764,30.9358
"enor",238,69.6763,30.9344
"enor",239,69.6757,30.9336
"enor",240,69.6751,30.934
"enor",241,69.6749,30.9355
"enor",242,69.6741,30.9367
"enor",243,69.6736,30.9352
"enor",244,69.6735,30.9339
"enor",245,69.6747,30.9292
"enor",246,69.6746,30.928
"enor",247,69.6739,30.9281
"enor",248,69.6717,30.925
"enor",249,69.6689,30.9229
"enor",250,69.6687,30.9229
"enor",251,69.668,30.9238
"enor",252,69.6669,30.9241
"enor",253,69.6656,30.926
"enor",254,69.665,30.9261
"enor",255,69.6642,30.9254
"enor",256,69.664,30.926
"enor",257,69.6641,30.9277
"enor",258,69.6639,30.929
"enor",259,69.6631,30.9302
"enor",260,69.6623,30.931
"enor",261,69.6601,30.9303
"enor",262,69.6596,30.9306
"enor",263,69.6584,30.9297
"enor",264,69.6576,30.9297
"enor",265,69.6571,30.9299
"enor",266,69.6566,30.931
"enor",267,69.6557,30.9312
"enor",268,69.6549,30.9329
"enor",269,69.6537,30.9344
"enor",270,69.6527,30.9341
"enor",271,69.6524,30.9336
"enor",272,69.6515,30.9337
"enor",273,69.6503,30.9329
"enor",274,69.6476,30.934
"enor",275,69.6469,30.935
"enor",276,69.6465,30.9373
"enor",277,69.6466,30.9394
"enor",278,69.6448,30.9401
"enor",279,69.6437,30.9392
"enor",280,69.6431,30.9403
"enor",281,69.6424,30.9429
"enor",282,69.6411,30.9433
"enor",283,69.6401,30.9456
"enor",284,69.64,30.9481
"enor",285,69.6399,30.9485
"enor",286,69.6391,30.9486
"enor",287,69.6388,30.9492
"enor",288,69.6384,30.9517
"enor",289,69.6381,30.9525
"enor",290,69.6374,30.9526
"enor",291,69.6348,30.9514
"enor",292,69.6343,30.9516
